"Gene","BIOS","adjP","AUC_train","Em","Es"
"LOC105376311",0.287815927979496,0.604481282978949,0.594135802469136,0,0
"LOC100506532",0.26965811965812,0.999999999999999,0.529320987654321,0,0
"COL5A1",0.658496777263055,0.000477297090184089,0.904320987654321,1,0.33
"COL5A1-AS1",0.246599398021306,0.870388667591659,0.445987654320988,0,0
"LOC101448202",0.65282589078797,0.000646732128982295,0.882716049382716,1,0.33
"MIR3689C",0.269299421814599,0.532594703354402,0.527777777777778,0,0
"MIR3689A",0.261538461538462,0.999999999999999,0.5,0,0
"MIR3689D1",0.261538461538462,0.999999999999999,0.5,0,0
"MIR3689B",0.277114443886019,0.347466686284823,0.555555555555556,0,0
"MIR3689D2",0.269299421814599,0.532594703354402,0.527777777777778,0,0
"MIR3689E",0.269299421814599,0.532594703354402,0.527777777777778,0,0
"MIR3689F",0.261538461538462,0.999999999999999,0.5,0,0
"FCN2",0.308445593121299,0.314356546104264,0.666666666666667,0,0
"FCN1",0.531039906872501,0.815825935374926,0.512345679012346,1,0.33
"LOC105376314",0.30159206841085,0.460830906285375,0.643518518518518,0,0
"LOC105376313",0.238769528633287,0.218563758283984,0.416666666666667,0,0
"OLFM1",0.341194375602011,0.113283498761393,0.780864197530864,0,0
"LOC102723948",0.261538461538462,0.999999999999999,0.5,0,0
"LOC401557",0.246343305710824,0.339165733443905,0.444444444444444,0,0
"LOC107987138",0.29695974561631,0.359529255312622,0.625,0,0
"LINC02907",0.261538461538462,0.999999999999999,0.5,0,0
"PPP1R26-AS1",0.282976098480897,0.762135453910625,0.577160493827161,0,0
"PPP1R26",0.30098220796538,0.532594703354402,0.641975308641975,0,0
"PIERCE1",0.631892850375988,0.00151935756335674,0.822530864197531,1,0.33
"MRPS2",0.304706439687659,0.294485545101504,0.654320987654321,0,0
"LOC101928525",0.302118626361268,0.343758276167788,0.645061728395062,0,0
"LCN1",0.291084053501468,0.289247644109255,0.604938271604938,0,0
"OBP2A",0.285317482276531,0.396627186625098,0.583333333333333,0,0
"LOC107987040",0.253891550723246,0.532594703354402,0.472222222222222,0,0
"PAEP",0.38188058474779,0.00136869281524336,0.864197530864198,0,0
"LINC01502",0.267563724719147,0.824293172505192,0.521604938271605,0,0
"LOC105376316",0.265888484425891,0.74412726256255,0.515432098765432,0,0
"LOC102723971",0.261538461538462,0.999999999999999,0.5,0,0
"GLT6D1",0.261538461538462,0.999999999999999,0.5,0,0
"LCN9",0.261538461538462,0.999999999999999,0.5,0,0
"LOC105376317",0.261538461538462,0.999999999999999,0.5,0,0
"LOC105376318",0.261538461538462,0.999999999999999,0.5,0,0
"SOHLH1",0.305381537260235,0.297707737003439,0.654320987654321,0,0
"KCNT1",0.517522286719225,0.34038259380289,0.459876543209877,1,0.33
"LOC107987140",0.278213989405846,0.945138822825068,0.560185185185185,0,0
"CAMSAP1",0.348151634698312,0.00167056999572573,0.790123456790123,0,0
"CAMSAP1-DT",0.347565339376534,0.00405325840651938,0.790123456790123,0,0
"UBAC1",0.364136426567767,0.00105234104950275,0.858024691358025,0,0
"NACC2",0.252168206860919,0.847030991382449,0.466049382716049,0,0
"LINC02846",0.301115517818788,0.340089440414742,0.640432098765432,0,0
"TMEM250",0.276083693696114,0.831914264691004,0.552469135802469,0,0
"LHX3",0.295674438788256,0.182881052035634,0.617283950617284,0,0
"QSOX2",0.357385649595539,0.00170973721022938,0.817901234567901,0,0
"CCDC187",0.292749641630093,0.583969411106517,0.611111111111111,0,0
"DKFZP434A062",0.297687363548439,0.339310084926866,0.628086419753086,0,0
"GPSM1",0.286385136898816,0.786590773806962,0.589506172839506,0,0
"DNLZ",0.32599779096777,0.093960256216975,0.725308641975309,0,0
"CARD9",0.267521367521368,0.999999999999999,0.521604938271605,0,0
"SNAPC4",0.355417587575089,0.00311782641088788,0.824074074074074,0,0
"ENTR1",0.384747535459414,0.000208880190871361,0.910493827160494,0,0
"PMPCA",0.342533450068609,0.0225553651886295,0.787037037037037,0,0
"INPP5E",0.288151656173854,0.53944214021996,0.595679012345679,0,0
"SEC16A",0.347788883423463,0.0144123154456906,0.802469135802469,0,0
"C9orf163",0.368228404585805,0.00327375759863587,0.858024691358025,0,0
"NOTCH1",0.357199347084929,0.00560792031084493,0.827160493827161,0,0
"MIR4673",0.261538461538462,0.999999999999999,0.5,0,0
"MIR4674",0.328483454694836,0.090728258049921,0.733024691358025,0,0
"NALT1",0.298005333265128,0.727292667885638,0.631172839506173,0,0
"LINC01451",0.298420262425685,0.405847233131499,0.631172839506173,0,0
