"draw","MinMedian","Jaccard_vs_equal","Ec","Ep","Em","Es","Ex"
121,0.926670025247261,0.6,0.13643834696522,0.458497219376182,0.396826853512593,0.00818862358802062,4.89565579841052e-05
122,0.921200750469043,0.818181818181818,0.170770605097854,0.0847005823461123,0.510664612310312,0.206752317223928,0.0271118830217939
123,0.921200750469043,0.818181818181818,0.0885197210153856,0.0444274032879512,0.451455712186375,0.237695226372659,0.177901937137629
124,0.91963727329581,0.739130434782609,0.0457833171249434,0.225313254105365,0.172169215622254,0.473896206793356,0.082838006354082
125,0.923583605494175,1,0.157841889206288,0.368306116750651,0.149508869187867,0.194709652357593,0.129633472497601
126,0.930555555555556,0.6,0.360499224206624,0.0329080650545851,0.477052696380362,0.0502997435848097,0.0792402707736188
127,0.930555555555556,0.739130434782609,0.0754644829573226,0.0910795594654953,0.0810802286524251,0.151993994903139,0.600381734021618
128,0.926670025247261,0.904761904761905,0.18208303477371,0.00101859468001855,0.556895567684562,0.131710984203749,0.128291818657961
129,0.91963727329581,0.739130434782609,0.203519267293531,0.11258641183371,0.146230197410094,0.443403078373759,0.0942610450889065
130,0.926670025247261,0.6,0.637980045114206,0.184456930813767,0.0346139076695387,0.0960252164240088,0.0469238999784788
131,0.926670025247261,0.818181818181818,0.323197575241959,0.0327448752871822,0.45906617185873,0.162665010208061,0.0223263674040671
132,0.921200750469043,0.818181818181818,0.236765410315309,0.0271654136003875,0.040975260577312,0.410721159444055,0.284372756062936
133,0.921200750469043,0.818181818181818,0.0953242591166411,0.719190622244067,0.0177957912356306,0.124581186915596,0.0431081404880648
134,0.922645519190235,0.904761904761905,0.101694182222022,0.0101169071618943,0.518694466728327,0.19259417394055,0.176900269947206
135,0.930555555555556,0.6,0.208294345717814,0.298183244575218,0.0458174652917689,0.0434899162417326,0.404215028173466
136,0.91963727329581,0.739130434782609,0.0421041453425693,0.0940683588914312,0.28640142771757,0.402517925952423,0.174908142096007
137,0.91963727329581,0.739130434782609,0.052603972532605,0.105993946099244,0.0592446547992516,0.541414541296086,0.240742885272814
138,0.91963727329581,0.739130434782609,0.0906257760762078,0.0726543510315573,0.111466338225961,0.444241491810368,0.281012042855906
139,0.930555555555556,0.666666666666667,0.410932622430508,0.0510267752893652,0.258183989102907,0.0930962671749901,0.186760346002229
140,0.923583605494175,1,0.259407888128896,0.260418933177509,0.0229909801587028,0.249761029242162,0.207421169292731
141,0.930555555555556,0.666666666666667,0.2245575591149,0.174469827098559,0.3823620220299,0.0510420934542279,0.167568498302414
142,0.923583605494175,0.904761904761905,0.0792677590136402,0.297745334329152,0.135471962487508,0.203827579471114,0.283687364698586
143,0.926670025247261,0.666666666666667,0.037770237894268,0.0100309030371471,0.100462498564947,0.247821186688429,0.60391517381521
144,0.933862020244134,0.6,0.0113997952616494,0.355670333003506,0.220222282436062,0.0562777339219126,0.35642985537687
145,0.926670025247261,0.818181818181818,0.0563183350808506,0.344953083451754,0.0278838180969763,0.200885249179328,0.369959514191091
146,0.926670025247261,0.666666666666667,0.486016272541899,0.13308457855745,0.160724087048338,0.127460790356387,0.0927142714959259
147,0.923583605494175,1,0.156273445450362,0.338790569108459,0.301348508226081,0.144938966454562,0.058648510760536
148,0.926670025247261,0.666666666666667,0.609186533610332,0.0678588218773102,0.0440592024044572,0.170032340360028,0.108863101747872
149,0.930555555555556,0.666666666666667,0.218139362165655,0.469482139945393,0.0145127854514703,0.0806681954200648,0.217197517017417
150,0.923583605494175,0.904761904761905,0.494277462995237,0.00313546897292839,0.158865843004165,0.290354901368523,0.0533663236591461
151,0.926670025247261,0.666666666666667,0.0122903165834875,0.0107073522384142,0.584214103117269,0.126905326687567,0.265882901373262
152,0.930555555555556,0.818181818181818,0.228838249785155,0.125756671729283,0.287399119125781,0.107978661820794,0.250027297538988
